execution; restart; iterations; total_iterations; duration; solution
0; 0; 27; 27; 4779; [1, -2, -3, 4, -5, 6, -7, -8, -9, 10, -11, -12, 13, 14, 15, -16, 17, -18, -19, 20]
1; 0; 34; 34; 5224; [1, -2, -3, -4, -5, 6, -7, -8, 9, -10, -11, -12, 13, 14, 15, -16, 17, -18, -19, 20]
2; 0; 106; 106; 17744; [-1, 2, 3, 4, -5, -6, -7, 8, 9, 10, 11, -12, -13, 14, 15, -16, 17, 18, 19, 20]
3; 0; 21; 21; 3612; [1, -2, -3, 4, -5, 6, -7, -8, -9, -10, -11, -12, 13, 14, 15, -16, 17, -18, -19, 20]
4; 0; 9; 9; 1907; [1, -2, -3, 4, -5, -6, -7, -8, -9, 10, -11, -12, 13, 14, 15, -16, 17, -18, -19, 20]
5; 0; 6; 6; 1709; [1, -2, -3, 4, -5, -6, -7, -8, -9, 10, -11, -12, 13, 14, 15, -16, 17, -18, -19, 20]
6; 0; 20; 20; 4658; [-1, 2, 3, 4, -5, -6, -7, 8, 9, 10, 11, -12, -13, 14, 15, -16, 17, 18, 19, 20]
7; 0; 27; 27; 5862; [-1, 2, 3, 4, -5, -6, -7, 8, 9, 10, 11, -12, -13, 14, 15, -16, 17, 18, 19, 20]
8; 0; 59; 59; 11247; [1, -2, -3, 4, -5, -6, -7, -8, -9, 10, -11, -12, 13, 14, 15, -16, 17, -18, -19, 20]
9; 0; 47; 47; 7637; [1, -2, -3, -4, -5, 6, -7, -8, 9, -10, -11, -12, -13, 14, 15, -16, 17, -18, -19, 20]
10; 0; 18; 18; 3424; [1, -2, -3, -4, -5, 6, -7, -8, 9, -10, -11, -12, -13, 14, 15, -16, 17, -18, -19, 20]
11; 0; 8; 8; 2009; [1, -2, -3, 4, -5, 6, -7, -8, -9, -10, -11, -12, 13, 14, 15, -16, 17, -18, -19, 20]
12; 0; 74; 74; 11421; [1, -2, -3, 4, -5, -6, -7, 8, -9, 10, -11, -12, 13, 14, 15, -16, 17, -18, -19, 20]
13; 0; 103; 103; 18936; [1, -2, -3, 4, -5, -6, -7, -8, -9, 10, -11, -12, 13, 14, 15, -16, 17, -18, -19, 20]
14; 0; 26; 26; 4977; [1, -2, -3, 4, -5, 6, -7, -8, -9, -10, -11, -12, 13, 14, 15, -16, 17, -18, -19, 20]
15; 0; 34; 34; 6481; [1, -2, -3, 4, -5, -6, -7, 8, -9, 10, -11, -12, 13, 14, 15, -16, 17, -18, -19, 20]
16; 0; 11; 11; 2778; [1, -2, -3, 4, -5, 6, -7, -8, -9, -10, -11, -12, 13, 14, 15, -16, 17, -18, -19, 20]
17; 0; 11; 11; 2265; [1, -2, -3, 4, -5, -6, -7, -8, -9, 10, -11, -12, 13, 14, 15, -16, 17, -18, -19, 20]
18; 0; 15; 15; 3069; [-1, 2, 3, 4, -5, -6, -7, 8, 9, 10, 11, -12, -13, 14, 15, -16, 17, 18, 19, 20]
19; 0; 91; 91; 18883; [1, -2, -3, 4, -5, -6, -7, -8, -9, 10, -11, -12, 13, 14, 15, -16, 17, -18, -19, 20]
20; 0; 38; 38; 7268; [1, -2, -3, 4, -5, -6, -7, 8, -9, 10, -11, -12, 13, 14, 15, -16, 17, -18, -19, 20]
21; 0; 15; 15; 2579; [1, -2, -3, 4, -5, -6, -7, -8, -9, 10, -11, -12, 13, 14, 15, -16, 17, -18, -19, 20]
22; 0; 11; 11; 1777; [1, -2, -3, -4, -5, 6, -7, -8, 9, -10, -11, -12, -13, 14, 15, -16, 17, -18, -19, 20]
23; 0; 7; 7; 1427; [1, -2, -3, -4, -5, 6, -7, -8, 9, -10, -11, -12, -13, 14, 15, -16, 17, -18, -19, 20]
24; 0; 33; 33; 6097; [1, -2, -3, 4, -5, 6, -7, -8, -9, -10, -11, -12, 13, 14, 15, -16, 17, -18, -19, 20]
25; 0; 65; 65; 16215; [1, -2, -3, 4, -5, -6, -7, 8, -9, 10, -11, -12, 13, 14, 15, -16, 17, -18, -19, 20]
26; 0; 38; 38; 10649; [-1, 2, 3, 4, -5, -6, -7, 8, 9, 10, 11, -12, -13, 14, 15, -16, 17, 18, 19, 20]
27; 0; 20; 20; 4246; [1, -2, -3, 4, -5, 6, -7, -8, -9, 10, -11, -12, 13, 14, 15, -16, 17, -18, -19, 20]
28; 0; 109; 109; 22179; [1, -2, -3, 4, -5, -6, -7, -8, -9, 10, -11, -12, 13, 14, 15, -16, 17, -18, -19, 20]
29; 0; 40; 40; 6424; [1, -2, -3, 4, -5, -6, -7, 8, -9, 10, -11, -12, 13, 14, 15, -16, 17, -18, -19, 20]
